init crypto/internal/fips140/hkdf @2.0 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/mlkem @2.0 ms, 0 ms clock, 64 bytes, 2 allocs
init crypto/internal/fips140/nistec @2.0 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/ecdh @2.0 ms, 0.003 ms clock, 256 bytes, 6 allocs
init crypto/internal/fips140/ecdsa @2.0 ms, 0.001 ms clock, 608 bytes, 16 allocs
init crypto/internal/fips140/rsa @2.0 ms, 0.028 ms clock, 3264 bytes, 24 allocs
init crypto/internal/fips140/tls12 @2.1 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/tls13 @2.1 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/md5 @2.1 ms, 0.006 ms clock, 0 bytes, 0 allocs
init crypto/sha1 @2.1 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/sha256 @2.1 ms, 0.006 ms clock, 0 bytes, 0 allocs
init crypto/sha3 @2.1 ms, 0.001 ms clock, 0 bytes, 0 allocs
init crypto/sha512 @2.1 ms, 0.001 ms clock, 0 bytes, 0 allocs
init crypto/tls/internal/fips140tls @2.1 ms, 0.001 ms clock, 0 bytes, 0 allocs
init encoding/gob @2.1 ms, 0.19 ms clock, 27248 bytes, 366 allocs
init encoding/json @2.4 ms, 0.001 ms clock, 32 bytes, 2 allocs
init encoding/xml @2.4 ms, 0.029 ms clock, 18776 bytes, 6 allocs
init flag @2.4 ms, 0 ms clock, 128 bytes, 2 allocs
init github.com/AOShei/go-fast-pdf/pkg/pdf @2.4 ms, 0.017 ms clock, 19504 bytes, 8 allocs
init github.com/Agent-Field/aforge-v2/internal/approval @2.4 ms, 0.003 ms clock, 256 bytes, 2 allocs
init github.com/Agent-Field/aforge-v2/internal/manual @2.5 ms, 0.025 ms clock, 8496 bytes, 8 allocs
init github.com/Agent-Field/aforge-v2/internal/roles @2.5 ms, 0.006 ms clock, 672 bytes, 4 allocs
init github.com/Agent-Field/agentfield/sdk/go/types @2.5 ms, 0.001 ms clock, 512 bytes, 4 allocs
init github.com/amp-labs/connectors/internal/goutils @2.5 ms, 0.002 ms clock, 640 bytes, 13 allocs
init github.com/amp-labs/connectors/internal/datautils @2.5 ms, 0.005 ms clock, 320 bytes, 7 allocs
init github.com/dlclark/regexp2/v2/syntax @2.5 ms, 0.073 ms clock, 37664 bytes, 74 allocs
init github.com/dlclark/regexp2/v2 @2.6 ms, 0.027 ms clock, 752 bytes, 9 allocs
init github.com/modelcontextprotocol/go-sdk/internal/mcpgodebug @2.7 ms, 0.017 ms clock, 6952 bytes, 11 allocs
init go.opentelemetry.io/otel/attribute @2.7 ms, 0.015 ms clock, 0 bytes, 0 allocs
init go.opentelemetry.io/otel/codes @2.7 ms, 0.005 ms clock, 512 bytes, 4 allocs
