init crypto/internal/fips140/ed25519 @2.4 ms, 0.016 ms clock, 64 bytes, 2 allocs
init crypto/internal/fips140/hkdf @2.4 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/mlkem @2.4 ms, 0 ms clock, 64 bytes, 2 allocs
init crypto/internal/fips140/nistec @2.4 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/ecdh @2.4 ms, 0.006 ms clock, 256 bytes, 6 allocs
init crypto/internal/fips140/ecdsa @2.4 ms, 0.001 ms clock, 608 bytes, 16 allocs
init crypto/internal/fips140/rsa @2.4 ms, 0.038 ms clock, 3264 bytes, 24 allocs
init crypto/internal/fips140/tls12 @2.5 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/tls13 @2.5 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/md5 @2.5 ms, 0.020 ms clock, 0 bytes, 0 allocs
init crypto/sha1 @2.5 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/sha256 @2.5 ms, 0.011 ms clock, 0 bytes, 0 allocs
init crypto/sha3 @2.6 ms, 0.003 ms clock, 0 bytes, 0 allocs
init crypto/sha512 @2.6 ms, 0.007 ms clock, 0 bytes, 0 allocs
init crypto/tls/internal/fips140tls @2.6 ms, 0.001 ms clock, 0 bytes, 0 allocs
init encoding/gob @2.6 ms, 0.36 ms clock, 28688 bytes, 375 allocs
init encoding/json @3.0 ms, 0.001 ms clock, 32 bytes, 2 allocs
init encoding/xml @3.0 ms, 0.044 ms clock, 18776 bytes, 6 allocs
init flag @3.1 ms, 0.005 ms clock, 128 bytes, 2 allocs
init github.com/AOShei/go-fast-pdf/pkg/pdf @3.1 ms, 0.036 ms clock, 19504 bytes, 8 allocs
init github.com/Agent-Field/aforge-v2/internal/approval @3.1 ms, 0.004 ms clock, 256 bytes, 2 allocs
init github.com/Agent-Field/aforge-v2/internal/manual @3.1 ms, 0.036 ms clock, 8496 bytes, 8 allocs
